                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.77488,                 0.3888,                0.90029,                0.84631,                0.78037,                0.84854,                0.50397,                 1.3908,                0.81681,                 1.3166,              0.0038457,              0.0038457,              0.0038457
                     76,                 0.7605,                0.38101,                 0.8953,                  0.879,                0.79585,                0.86813,                0.52694,                 1.3406,                0.77021,                 1.3011,              0.0037625,              0.0037625,              0.0037625
                     77,                0.76954,                0.38447,                0.89683,                 0.8883,                0.80277,                0.87116,                0.53548,                 1.3461,                0.69444,                 1.2995,              0.0036793,              0.0036793,              0.0036793
                     78,                0.76166,                0.38121,                 0.8954,                0.87918,                0.77551,                0.84829,                0.49483,                 1.4237,                0.81595,                 1.3199,              0.0035962,              0.0035962,              0.0035962
                     79,                0.76036,                0.37834,                0.89638,                0.88763,                0.80073,                0.87719,                0.53525,                 1.3409,                0.73237,                 1.2903,               0.003513,               0.003513,               0.003513
                     80,                0.74668,                0.36876,                0.88846,                0.90628,                0.79072,                0.88344,                0.53649,                 1.3098,                0.69003,                 1.2822,              0.0034298,              0.0034298,              0.0034298
                     81,                0.74658,                0.36549,                0.89161,                0.87222,                0.80953,                0.86901,                0.52578,                 1.3454,                0.71735,                  1.299,              0.0033467,              0.0033467,              0.0033467
                     82,                0.75082,                0.37099,                0.89079,                0.87791,                0.81447,                0.87463,                0.52978,                 1.3394,                0.70417,                 1.3099,              0.0032635,              0.0032635,              0.0032635
                     83,                0.74635,                0.37174,                 0.8902,                0.89845,                0.82558,                0.88731,                0.54014,                 1.3015,                0.66552,                 1.2848,              0.0031803,              0.0031803,              0.0031803
                     84,                0.74122,                0.37089,                0.88699,                0.89531,                0.82394,                0.87872,                0.53758,                   1.32,                0.68869,                  1.297,              0.0030972,              0.0030972,              0.0030972
                     85,                0.72952,                0.35603,                0.88445,                0.89734,                0.82485,                0.88013,                0.54296,                 1.2959,                0.69812,                 1.2815,               0.003014,               0.003014,               0.003014
                     86,                0.72559,                0.36148,                0.87718,                0.87854,                0.80544,                0.86367,                0.52718,                 1.3233,                0.72971,                 1.2905,              0.0029308,              0.0029308,              0.0029308
                     87,                0.71977,                0.35492,                0.88138,                0.87725,                0.80885,                 0.8733,                 0.5305,                 1.3297,                0.72403,                 1.3136,              0.0028477,              0.0028477,              0.0028477
                     88,                0.72598,                0.35568,                0.88401,                 0.8891,                0.81717,                0.87796,                0.53556,                 1.3473,                0.70397,                 1.3032,              0.0027645,              0.0027645,              0.0027645
                     89,                0.72367,                0.35669,                0.88371,                0.88225,                0.82217,                 0.8841,                0.54002,                 1.3275,                0.71339,                  1.288,              0.0026813,              0.0026813,              0.0026813
                     90,                0.71603,                0.35155,                0.87871,                   0.89,                0.83429,                0.88911,                0.54727,                 1.3057,                0.68682,                 1.2837,              0.0025982,              0.0025982,              0.0025982
                     91,                0.71365,                0.35532,                0.87789,                0.86203,                0.84727,                0.88427,                0.54604,                 1.3072,                0.69373,                 1.2789,               0.002515,               0.002515,               0.002515
                     92,                0.70568,                0.34777,                0.87845,                0.90868,                 0.8127,                0.88237,                0.54636,                 1.3159,                0.69085,                 1.2871,              0.0024318,              0.0024318,              0.0024318
                     93,                0.70698,                0.34774,                0.87709,                0.89713,                0.81437,                0.88549,                0.54301,                 1.3289,                0.70143,                  1.303,              0.0023487,              0.0023487,              0.0023487
                     94,                0.70199,                0.34308,                0.87596,                0.88397,                0.83157,                0.88672,                0.54079,                 1.3222,                0.69506,                 1.3049,              0.0022655,              0.0022655,              0.0022655
                     95,                0.70507,                0.34758,                0.87786,                0.90037,                0.79551,                0.87712,                0.53972,                 1.3423,                0.74248,                 1.2853,              0.0021823,              0.0021823,              0.0021823
                     96,                 0.6978,                0.34278,                0.87445,                0.86483,                0.83329,                0.87951,                0.54693,                 1.3107,                0.70782,                 1.2864,              0.0020992,              0.0020992,              0.0020992
                     97,                0.69627,                0.34255,                0.87617,                0.88285,                0.82386,                0.88637,                 0.5569,                 1.2835,                0.68067,                 1.2953,               0.002016,               0.002016,               0.002016
                     98,                0.68539,                0.33565,                 0.8693,                0.89798,                0.82684,                0.89449,                0.55636,                 1.2743,                0.66604,                 1.2854,              0.0019328,              0.0019328,              0.0019328
                     99,                0.68464,                0.33009,                0.86973,                0.88491,                0.81153,                 0.8865,                0.55062,                 1.2901,                0.69145,                 1.2817,              0.0018497,              0.0018497,              0.0018497
                    100,                0.67811,                0.33351,                0.86816,                0.89695,                 0.8368,                0.89367,                0.55756,                 1.2998,                0.68012,                 1.2874,              0.0017665,              0.0017665,              0.0017665
                    101,                0.68297,                0.33303,                0.86984,                0.89266,                0.83633,                0.89516,                0.55847,                 1.2991,                0.67736,                 1.2851,              0.0016833,              0.0016833,              0.0016833
                    102,                0.67215,                0.32873,                0.86562,                 0.9094,                0.82251,                0.88963,                0.55888,                 1.2917,                0.66474,                 1.2847,              0.0016002,              0.0016002,              0.0016002
                    103,                0.66992,                0.32526,                0.86484,                0.90503,                0.83084,                0.89875,                0.56142,                 1.2991,                0.64586,                 1.3015,               0.001517,               0.001517,               0.001517
                    104,                0.66874,                0.32311,                 0.8657,                0.89883,                0.83196,                0.89585,                0.56317,                 1.2913,                0.64277,                 1.2891,              0.0014338,              0.0014338,              0.0014338
                    105,                0.65658,                0.31748,                0.86039,                0.87059,                0.85429,                0.89994,                0.56668,                 1.2888,                0.64429,                 1.2899,              0.0013507,              0.0013507,              0.0013507
                    106,                0.65791,                0.32015,                 0.8645,                0.86601,                0.85088,                0.89591,                0.56096,                 1.2971,                 0.6486,                 1.3018,              0.0012675,              0.0012675,              0.0012675
                    107,                0.65845,                0.31852,                0.86634,                0.88659,                0.84285,                0.89853,                0.56518,                 1.2815,                0.65177,                 1.2888,              0.0011843,              0.0011843,              0.0011843
                    108,                0.64989,                0.31601,                0.86083,                0.88564,                0.84591,                0.89551,                0.56189,                 1.2939,                0.64454,                 1.2936,              0.0011012,              0.0011012,              0.0011012
                    109,                0.65196,                0.31554,                0.85987,                0.89972,                0.83281,                0.89406,                 0.5572,                 1.2925,                0.66167,                 1.2903,               0.001018,               0.001018,               0.001018
                    110,                0.64517,                0.31142,                0.85992,                0.89896,                0.83448,                 0.8967,                0.55729,                 1.2816,                0.65448,                  1.291,             0.00093483,             0.00093483,             0.00093483
                    111,                0.64434,                0.31608,                0.86144,                0.90721,                0.82876,                0.89501,                0.56057,                 1.2791,                0.65095,                 1.2807,             0.00085167,             0.00085167,             0.00085167
                    112,                0.63567,                 0.3115,                0.85894,                0.90917,                0.82471,                0.90059,                0.56722,                 1.2854,                 0.6459,                 1.2878,              0.0007685,              0.0007685,              0.0007685
                    113,                0.64227,                0.31245,                0.85957,                0.91404,                0.81341,                0.90132,                0.56211,                 1.2967,                0.66021,                 1.2999,             0.00068533,             0.00068533,             0.00068533
                    114,                0.63106,                0.30591,                0.85553,                0.90415,                0.82616,                0.89891,                0.56439,                  1.296,                 0.6563,                 1.2999,             0.00060217,             0.00060217,             0.00060217
                    115,                0.63072,                0.30448,                0.85902,                0.91248,                0.82413,                0.89951,                 0.5636,                 1.2866,                0.65787,                 1.3007,               0.000519,               0.000519,               0.000519
                    116,                0.63233,                0.30715,                0.85637,                0.90363,                0.82374,                0.89619,                0.56517,                 1.2743,                0.65674,                  1.284,             0.00043583,             0.00043583,             0.00043583
                    117,                0.62541,                0.30091,                0.85445,                0.90707,                0.82814,                0.89798,                0.56746,                 1.2808,                0.65728,                  1.292,             0.00035267,             0.00035267,             0.00035267
                    118,                0.62689,                 0.2984,                0.85631,                0.90422,                0.83012,                0.89878,                0.56632,                 1.2788,                0.65555,                 1.2893,              0.0002695,              0.0002695,              0.0002695
                    119,                0.62305,                0.29842,                0.85675,                0.90544,                0.82067,                0.89673,                0.56588,                 1.2807,                0.65703,                 1.2889,             0.00018633,             0.00018633,             0.00018633
